MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
FEBRERO,14,17,0.038,0.004,0.012,0.53,866,24,28.06,5.75,239.7,14.25,616.29
FEBRERO,14,18,0.034,0.005,0.013,0.57,173,27,26.05,5.44,226.26,29.67,616.58
FEBRERO,14,19,0.029,0.005,0.015,0.59,118,31,24.41,5.27,215.52,35.1,616.74
FEBRERO,14,20,0.023,0.005,0.017,0.63,99,27,22.61,3.11,247.13,37.47,617.18
FEBRERO,14,21,0.02,0.005,0.019,0.6,96,28,21.08,2.58,271.32,41.04,617.64
FEBRERO,14,22,0.023,0.005,0.018,0.52,68,27,20.54,3.62,275.47,41.44,618.07
FEBRERO,14,23,0.026,0.005,0.014,0.47,39,25,19.78,3.06,265.09,44.05,618.37
FEBRERO,15,0,0.026,0.005,0.014,0.45,24,21,18.76,1.29,209.44,47.84,618.53
FEBRERO,15,1,0.015,0.005,0.02,0.57,25,19,17.58,1.47,350.15,49.29,618.43
FEBRERO,15,2,0.003,0.005,0.03,0.67,46,24,15.89,1.13,62.72,50.7,618.33
FEBRERO,15,3,0.003,0.005,0.029,0.65,56,31,15.26,0.95,26.84,52.61,618.28
FEBRERO,15,4,0.003,0.004,0.029,0.64,55,33,14.48,0.86,276.12,58.33,618.51
FEBRERO,15,5,0.001,0.004,0.029,0.54,48,27,13.2,0.57,117.6,63.14,618.44
FEBRERO,15,6,0.001,0.004,0.028,0.69,49,26,13.05,0.43,164.26,65.25,618.61
FEBRERO,15,7,0,0.004,0.028,1.03,47,25,12.09,0.66,85.83,66.4,618.7
FEBRERO,15,8,0.001,0.005,0.029,1.52,72,36,11.82,0.62,67.72,65.66,619.06
FEBRERO,15,9,0.002,0.004,0.032,1.8,99,42,14.92,0.5,95.38,58.46,619.26
FEBRERO,15,10,0.007,0.005,0.036,1.39,139,46,17.68,0.67,129.02,52.53,619.54
FEBRERO,15,11,0.019,0.004,0.033,1,111,38,20.18,0.8,341.05,45.27,619.66
FEBRERO,15,12,0.033,0.004,0.025,0.68,84,33,22.54,1.41,18.47,38.06,619.39
FEBRERO,15,13,0.036,0.003,0.018,0.52,59,26,24.5,3.61,279.38,27.65,618.91
FEBRERO,15,14,0.04,0.003,0.019,0.48,60,23,25.27,4.25,278.98,28.66,618.23
FEBRERO,15,15,0.043,0.003,0.019,0.46,57,21,26.56,2.7,281.97,26.95,617.62
FEBRERO,15,16,0.047,0.003,0.019,0.47,43,19,27.06,3.49,282.15,27.12,617.21
FEBRERO,15,17,0.042,0.003,0.02,0.4,58,21,27.13,4.35,279.19,26.11,617.06
FEBRERO,15,18,0.032,0.003,0.021,0.36,67,27,26.8,3.72,274.87,25.04,616.99
FEBRERO,15,19,0.024,0.003,0.025,0.51,53,23,25.42,2.58,283.58,27.13,616.81
FEBRERO,15,20,0.004,0.004,0.039,1.16,56,23,23.65,1.41,288.17,32.34,616.9
FEBRERO,15,21,0.002,0.004,0.039,0.99,115,35,21.56,0.95,256.2,36.95,617.35
FEBRERO,15,22,0.002,0.004,0.035,0.75,138,44,20.17,0.72,264.06,39.37,617.78
FEBRERO,15,23,0.001,0.004,0.034,0.94,72,27,19.53,0.43,309.42,40.12,618.17
FEBRERO,16,0,0,0.004,0.035,0.93,60,29,18.09,1.02,43.65,44.26,618.51
FEBRERO,16,1,0.001,0.004,0.033,0.76,106,49,16.98,0.43,60.88,46.31,618.6
FEBRERO,16,2,0.001,0.004,0.031,0.58,87,44,16,0.42,136.37,48.94,618.64
FEBRERO,16,3,0.001,0.004,0.031,0.6,64,38,14.67,0.43,197.51,51.15,618.41
FEBRERO,16,4,0.001,0.005,0.029,0.6,224,46,14.19,0.43,241.18,52.7,618.05
FEBRERO,16,5,0.003,0.006,0.025,0.49,66,42,13.27,0.75,238.2,53.98,618.12
FEBRERO,16,6,0.01,0.006,0.023,0.44,34,35,13.52,0.73,228.81,54.86,618.31
FEBRERO,16,7,0.003,0.005,0.025,0.7,27,29,12.11,1.23,83.95,56.42,618.62
FEBRERO,16,8,0.002,0.005,0.024,0.72,75,41,11.94,0.66,142.66,54.92,618.99
FEBRERO,16,9,0.004,0.006,0.026,1.04,58,35,14.27,0.97,159.5,50.45,618.99
FEBRERO,16,10,0.014,0.006,0.025,0.73,220,50,18.33,0.44,151.4,43.8,619.29
FEBRERO,16,11,0.029,0.006,0.024,0.56,92,36,20.11,2.51,279.98,44.29,619.46
FEBRERO,16,12,0.039,0.005,0.019,0.4,107,37,21.66,2.89,290.14,42.46,619.07
FEBRERO,16,13,0.044,0.005,0.015,0.43,76,29,24.4,2.35,302.16,34.71,618.59
FEBRERO,16,14,0.052,0.005,0.016,0.38,68,28,26.21,2.19,306.41,31.84,617.9
FEBRERO,16,15,0.041,0.005,0.016,0.43,65,30,27.49,3.48,290.44,26.35,617.43
FEBRERO,16,16,0.041,0.004,0.015,0.39,56,25,27.83,4.4,289.1,21.03,616.98
FEBRERO,16,17,0.039,0.004,0.014,0.42,63,23,27.96,4.45,287.98,25.05,617.07
FEBRERO,16,18,0.034,0.004,0.015,0.46,58,22,27.55,3.91,299.32,23.26,617.23
FEBRERO,16,19,0.022,0.005,0.025,0.8,41,22,25.88,2.56,322.77,27.88,617.18
FEBRERO,16,20,0.004,0.005,0.038,1.21,63,25,24.09,0.62,301.52,32.82,617.46
FEBRERO,16,21,0.001,0.005,0.04,1.11,93,32,22.69,2.07,283.4,35.71,617.73
FEBRERO,16,22,0.001,0.005,0.038,0.86,149,47,21.22,1.59,274.56,38.46,618.25
FEBRERO,16,23,0.004,0.005,0.034,0.75,115,42,19.95,0.71,256.22,40.24,618.76
FEBRERO,17,0,0.001,0.005,0.031,0.8,80,35,18.77,0.99,120.49,43.36,618.83
FEBRERO,17,1,0.024,0.006,0.024,0.55,88,38,18.69,3.48,80.41,60.01,618.98
FEBRERO,17,2,0.025,0.006,0.023,0.52,91,33,17.59,4.05,99.47,70.46,618.88
FEBRERO,17,3,0.026,0.006,0.023,0.5,89,42,16.73,4.7,100.17,77.63,618.73
FEBRERO,17,4,0.026,0.006,0.022,0.49,71,45,15.91,4.5,93.38,82.37,618.79
FEBRERO,17,5,0.026,0.006,0.021,0.48,68,48,15.07,3.94,87.24,86.25,618.74
FEBRERO,17,6,0.025,0.006,0.02,0.49,65,45,14.75,4.6,84.21,88.58,618.75
FEBRERO,17,7,0.025,0.006,0.019,0.52,71,47,14.67,4.49,77.15,88.65,619.08
FEBRERO,17,8,0.023,0.006,0.021,0.61,59,41,14.69,5.21,85.06,87.55,619.59
FEBRERO,17,9,0.022,0.006,0.022,0.63,64,42,15.67,5.59,84.39,83.19,620.08
FEBRERO,17,10,0.025,0.006,0.019,0.59,78,37,16.49,6.51,81.68,78.16,620.4
FEBRERO,17,11,0.03,0.006,0.019,0.59,111,35,17.39,6.25,85.05,72.69,620.52
FEBRERO,17,12,0.037,0.006,0.018,0.58,116,35,18.9,5.55,83.49,66.45,620.19
FEBRERO,17,13,0.044,0.006,0.018,0.57,107,34,20.23,5.66,84.68,61.08,619.87
FEBRERO,17,14,0.052,0.006,0.018,0.58,119,28,22.07,5.3,94.24,55.34,619.24
FEBRERO,17,15,0.055,0.006,0.018,0.57,119,33,23.49,5.41,102.5,49.89,618.7
FEBRERO,17,16,0.057,0.006,0.019,0.6,104,28,24.72,4.91,99.32,45.35,618.2
FEBRERO,17,17,0.057,0.006,0.02,0.63,100,29,24.72,5.27,93.29,43.12,617.94
FEBRERO,17,18,0.047,0.006,0.021,0.67,102,29,23.53,5.69,92.22,45.34,618.14
FEBRERO,17,19,0.036,0.006,0.023,0.67,127,26,21.09,6.02,90.32,49.41,618.61
FEBRERO,17,20,0.029,0.006,0.023,0.64,138,34,18.08,6.39,90.44,52.63,619.01
FEBRERO,17,21,0.028,0.006,0.022,0.58,147,32,15.44,6.52,82.75,54.63,620.11
FEBRERO,17,22,0.028,0.006,0.019,0.52,141,32,13.29,6.22,77.05,56.28,620.95
FEBRERO,17,23,0.028,0.006,0.017,0.48,99,27,11.38,5.82,79.62,58.89,621.59
FEBRERO,18,0,0.032,0.006,0.014,0.44,74,24,9.96,5.19,76.4,63.5,622.07
FEBRERO,18,1,0.032,0.005,0.013,0.41,44,23,9.09,4.59,75.09,67.62,622.11
FEBRERO,18,2,0.031,0.005,0.014,0.4,33,23,8.54,3.99,73.84,69.74,621.87
FEBRERO,18,3,0.032,0.005,0.013,0.38,26,22,8.09,4.33,77.3,72.62,621.95
FEBRERO,18,4,0.031,0.005,0.013,0.4,27,21,7.53,3.61,66.83,73.68,621.83
FEBRERO,18,5,0.026,0.005,0.015,0.42,27,21,6.6,1.87,36.28,70.04,621.63
FEBRERO,18,6,0.022,0.005,0.018,0.45,30,22,5.9,1.82,19.32,69.43,621.76
FEBRERO,18,7,0.018,0.005,0.021,0.51,39,27,5.61,1.99,36.55,70.34,621.85
FEBRERO,18,8,0.013,0.005,0.024,0.66,38,27,5.68,1.7,36.99,70.3,622.01
FEBRERO,18,9,0.017,0.005,0.024,0.64,51,25,7.53,3.01,74.9,70.99,621.63
FEBRERO,18,10,0.024,0.005,0.021,0.59,60,32,10,3.81,94.66,69.29,621.6
FEBRERO,18,11,0.028,0.005,0.02,0.6,57,25,13.02,2.7,92.8,62.27,621.9
FEBRERO,18,12,0.036,0.005,0.022,0.65,68,32,16.62,1.59,13.08,54.35,621.83
FEBRERO,18,13,0.052,0.005,0.022,0.63,76,31,20.16,1.56,34.28,47.38,621.35
FEBRERO,18,14,0.062,0.005,0.021,0.63,73,38,23.34,1.81,324.55,41.84,620.65
FEBRERO,18,15,0.061,0.005,0.021,0.64,68,30,25.41,2.22,297.94,39.29,619.86
FEBRERO,18,16,0.059,0.006,0.018,0.52,85,38,26.46,2.09,272.44,36.1,619.46
FEBRERO,18,17,0.058,0.005,0.016,0.53,65,25,27.3,2.01,300.53,31.77,619.06
FEBRERO,18,18,0.057,0.005,0.017,0.57,59,26,27.12,2.03,289.09,33.48,618.72
FEBRERO,18,19,0.048,0.005,0.021,0.68,75,25,25.25,2,277.37,39.91,618.56
FEBRERO,18,20,0.029,0.005,0.032,0.91,77,29,23.59,2.68,21.44,40.38,619.25
FEBRERO,18,21,0.028,0.005,0.028,0.73,93,34,21.45,3.09,87.12,41.46,620.03
FEBRERO,18,22,0.034,0.005,0.023,0.55,83,31,19.73,4.7,105.42,43.28,620.45
FEBRERO,18,23,0.035,0.005,0.022,0.54,83,30,18.52,3.38,105.14,46.32,620.93
FEBRERO,19,0,0.027,0.005,0.023,0.56,73,29,17.08,2.85,77.85,50.22,621.16
FEBRERO,19,1,0.026,0.005,0.025,0.57,66,29,15.68,2.62,61.08,53.05,621.48
FEBRERO,19,2,0.032,0.005,0.02,0.49,64,30,14.47,3.09,68.99,56.38,621.25
FEBRERO,19,3,0.032,0.005,0.018,0.48,51,25,13.33,3.5,79.72,58.69,621.08
FEBRERO,19,4,0.029,0.005,0.018,0.48,42,26,12.13,3.88,91.08,61.28,620.98
FEBRERO,19,5,0.028,0.005,0.017,0.47,44,25,11.01,2.62,75.09,64.68,620.93
FEBRERO,19,6,0.024,0.005,0.019,0.48,43,25,10.02,1.82,80.67,68.23,621.15
FEBRERO,19,7,0.02,0.005,0.021,0.51,44,25,9.66,1.7,68.76,69.82,621.19
FEBRERO,19,8,0.019,0.006,0.023,0.59,39,25,9.81,2.08,75.51,69.02,621.53
FEBRERO,19,9,0.023,0.005,0.023,0.61,43,25,11.72,3.04,74.22,64.47,621.72
FEBRERO,19,10,0.031,0.006,0.021,0.57,55,26,14.2,3.41,81.94,59.4,621.9
FEBRERO,19,11,0.039,0.006,0.02,0.57,63,27,17.56,2.64,81.58,52.57,621.86
FEBRERO,19,12,0.051,0.006,0.02,0.6,65,27,21.51,1.61,39.56,44.69,621.87
FEBRERO,19,13,0.063,0.006,0.019,0.57,66,29,23.56,2.16,292.88,39.2,621.36
FEBRERO,19,14,0.066,0.006,0.017,0.55,61,27,25.47,2.21,316.91,40.57,620.59
FEBRERO,19,15,0.066,0.006,0.016,0.54,50,30,26.63,2.74,309.75,37.61,620.2
FEBRERO,19,16,0.065,0.006,0.015,0.55,236,29,27.46,2.86,313.72,34.88,619.75
FEBRERO,19,17,0.065,0.006,0.015,0.57,75,27,27.62,3.31,306.85,28.6,619.45
FEBRERO,19,18,0.062,0.006,0.016,0.6,47,28,27.24,2.99,331.99,28.81,619.27
FEBRERO,19,19,0.051,0.006,0.02,0.72,56,31,25.92,1.98,323.52,28.51,619.09
FEBRERO,19,20,0.021,0.006,0.039,1.45,59,27,23.47,1.29,234.71,38.53,619.27
FEBRERO,19,21,0.02,0.006,0.039,1.22,97,36,21.34,1.64,186.29,42.85,619.68
FEBRERO,19,22,0.023,0.006,0.031,0.77,102,34,20.59,3.98,102.8,46.08,620.12
FEBRERO,19,23,0.023,0.006,0.024,0.62,111,33,19.57,4.41,89.46,49.85,620.3
FEBRERO,20,0,0.024,0.006,0.022,0.58,92,30,18.3,3.02,67.78,53.81,620.89
FEBRERO,20,1,0.029,0.005,0.02,0.47,80,29,17.14,2.02,46.94,56.12,620.94
FEBRERO,20,2,0.029,0.005,0.017,0.44,61,30,15.41,1.72,36.13,61.63,621.06
FEBRERO,20,3,0.027,0.005,0.017,0.44,50,26,14.53,1.52,56.26,65.23,621.04
FEBRERO,20,4,0.028,0.005,0.016,0.43,88,58,13.96,1.34,52.83,67.37,620.98
FEBRERO,20,5,0.025,0.005,0.017,0.42,61,32,13.43,2.01,76.03,69.43,620.9
FEBRERO,20,6,0.021,0.005,0.019,0.48,45,28,13.03,2.16,78.54,69.91,620.93
FEBRERO,20,7,0.005,0.005,0.031,0.71,41,24,12.36,1.62,85.75,72.59,620.95
FEBRERO,20,8,0.001,0.006,0.034,1.34,50,25,12.09,1.58,97.99,73.29,621.29
FEBRERO,20,9,0.008,0.006,0.029,1.05,98,34,13.9,2.01,82.65,67.22,621.19
FEBRERO,20,10,0.021,0.006,0.026,0.76,100,33,17.2,1.78,85.73,60.51,621.68
FEBRERO,20,11,0.032,0.006,0.024,0.61,91,28,20.26,1.86,79.52,54.52,621.42
FEBRERO,20,12,0.047,0.006,0.021,0.55,69,29,23.38,1.51,356.26,44.96,621.14
FEBRERO,20,13,0.058,0.006,0.021,0.62,91,27,25.65,1.81,10.08,37.72,620.69
FEBRERO,20,14,0.067,0.006,0.02,0.56,75,29,27.79,2.31,58.11,24.34,619.92
FEBRERO,20,15,0.066,0.006,0.018,0.49,63,29,28.89,3.29,100.93,9.69,619.04
FEBRERO,20,16,0.077,0.006,0.018,0.58,68,34,29.83,2.86,72.32,12.1,618.53
FEBRERO,20,17,0.073,0.006,0.018,0.6,84,30,30.36,2.37,73.57,13.18,618.28
FEBRERO,20,18,0.068,0.006,0.018,0.61,75,28,30.47,1.56,57.9,16.57,618.28
FEBRERO,20,19,0.059,0.006,0.024,0.74,64,26,28.08,1.75,277.54,20.68,617.83
FEBRERO,20,20,0.037,0.006,0.039,1.12,79,27,24.88,2.32,253.71,32.65,617.76
FEBRERO,20,21,0.02,0.006,0.048,1.35,150,50,23.74,2.15,23.19,33.87,618.22
FEBRERO,20,22,0.034,0.006,0.028,0.62,134,49,23.01,3.11,125.52,34.08,618.8
FEBRERO,20,23,0.035,0.006,0.024,0.54,92,36,22.58,2.92,116.13,38.71,619
FEBRERO,21,0,0.033,0.006,0.021,0.51,77,28,21.01,2.65,87.91,44.22,619.07
FEBRERO,21,1,0.023,0.005,0.024,0.51,66,25,19.65,2.13,86.81,49.2,618.88
FEBRERO,21,2,0.014,0.004,0.028,0.51,57,36,18.23,1.58,89.39,54.6,618.91
FEBRERO,21,3,0.011,0.004,0.028,0.51,65,30,17.22,1.29,65.11,57.46,618.51
FEBRERO,21,4,0.001,0.004,0.036,0.58,51,31,16.04,0.65,317.88,62.2,618.61
FEBRERO,21,5,0.001,0.005,0.036,0.64,70,34,15.52,0.65,100.57,64.03,618.48
FEBRERO,21,6,0.001,0.005,0.036,0.71,76,36,15.25,1.02,29.06,63.8,618.66
FEBRERO,21,7,0.001,0.005,0.038,0.81,76,41,15.18,1.53,305.7,66.56,619.04
FEBRERO,21,8,0.001,0.005,0.035,1.4,91,37,14.62,1.52,210.09,69.51,619.43
FEBRERO,21,9,0.021,0.005,0.023,0.69,118,47,17.03,3.52,272.59,70.21,619.62
FEBRERO,21,10,0.034,0.005,0.017,0.54,83,31,18.81,4.34,270.26,66.06,619.73
FEBRERO,21,11,0.042,0.004,0.015,0.48,62,29,20.45,4.32,265.17,61.24,619.87
FEBRERO,21,12,0.044,0.004,0.013,0.45,138,28,21.9,5.48,270.88,55.79,619.34
FEBRERO,21,13,0.046,0.004,0.012,0.47,81,30,23.49,4.42,278.31,51.28,618.75
FEBRERO,21,14,0.049,0.004,0.012,0.5,63,30,24.62,4.75,280.5,47.83,618.32
FEBRERO,21,15,0.051,0.004,0.013,0.53,77,29,25.49,3.78,281.8,42.51,617.55
FEBRERO,21,16,0.053,0.004,0.013,0.54,70,29,26.13,4.57,273.12,41.09,616.93
FEBRERO,21,17,0.055,0.004,0.013,0.54,68,27,26.23,5.49,273.29,40.17,616.61
FEBRERO,21,18,0.048,0.004,0.013,0.56,86,26,25.42,5.19,274.05,41.68,616.85
FEBRERO,21,19,0.039,0.004,0.016,0.66,69,30,23.87,3.92,264.85,45.66,616.85
FEBRERO,21,20,0.03,0.004,0.022,0.76,101,38,22.39,3.64,245.02,47.76,616.88
FEBRERO,21,21,0.029,0.004,0.018,0.62,92,36,21.52,6.5,225.26,46.29,617.43
FEBRERO,21,22,0.034,0.004,0.014,0.52,51,24,21.13,6.3,228.86,48.04,617.65
FEBRERO,21,23,0.031,0.004,0.014,0.47,100,26,20.01,2.94,281.07,53.26,617.94
FEBRERO,22,0,0.032,0.004,0.015,0.43,61,28,19.14,2.05,275.02,53.99,618.18
FEBRERO,22,1,0.034,0.006,0.013,0.4,42,25,18.46,2.73,268.67,54.58,618.35
FEBRERO,22,2,0.033,0.006,0.012,0.37,34,24,17.34,2.3,243.84,60.98,618.37
FEBRERO,22,3,0.029,0.006,0.013,0.39,28,25,16.9,3.04,259.16,64.65,618.48
FEBRERO,22,4,0.022,0.006,0.017,0.41,42,27,15.99,3.01,275.37,67.16,618.4
FEBRERO,22,5,0.02,0.006,0.015,0.4,45,33,14.94,2.17,265.43,71.03,618.5
FEBRERO,22,6,0.021,0.006,0.016,0.44,36,27,14.99,2.95,258.47,70.38,618.72
FEBRERO,22,7,0.02,0.006,0.015,0.58,33,26,14.76,3.99,257.31,73.52,618.97
FEBRERO,22,8,0.016,0.006,0.019,0.68,55,26,14.96,3.53,264.14,73.85,618.94
FEBRERO,22,9,0.014,0.006,0.023,0.84,50,28,16.63,2.56,246.94,69.26,619.09
FEBRERO,22,10,0.025,0.006,0.018,0.6,68,29,18.35,4.19,285.13,62.57,619.34
FEBRERO,22,11,0.032,0.006,0.014,0.48,73,38,19.25,5.22,276.26,57.02,619.53
FEBRERO,22,12,0.037,0.006,0.013,0.47,65,45,20.4,5.92,279.99,53.23,619.4
FEBRERO,22,13,0.037,0.006,0.013,0.47,68,53,20.69,5.51,274.28,51.54,619
FEBRERO,22,14,0.037,0.006,0.013,0.47,55,52,21.69,4.51,276.41,44.89,618.5
FEBRERO,22,15,0.038,0.006,0.013,0.51,59,47,23.29,5.67,290.47,37.7,617.98
FEBRERO,22,16,0.041,0.006,0.013,0.5,83,39,24.18,3.29,284.35,35.63,617.61
FEBRERO,22,17,0.042,0.006,0.013,0.55,59,36,23.99,1.82,296.98,36.36,617.58
FEBRERO,22,18,0.041,0.006,0.015,0.58,62,36,24.47,3.17,297.59,33.63,617.43
FEBRERO,22,19,0.033,0.006,0.019,0.64,58,31,23.74,2,265.75,34.95,617.61
FEBRERO,22,20,0.02,0.006,0.028,0.81,81,45,21.59,1.92,250.43,39.03,618.14
FEBRERO,22,21,0.024,0.006,0.022,0.65,100,56,20.34,3.02,255.34,41.31,618.66
FEBRERO,22,22,0.022,0.006,0.021,0.61,78,46,19.13,2.65,254.06,43.85,619.05
FEBRERO,22,23,0.02,0.006,0.019,0.55,64,41,18.14,1.79,267.57,45.99,619.39
FEBRERO,23,0,0.014,0.006,0.021,0.59,38,34,16.98,1.12,335.14,48.99,619.72
FEBRERO,23,1,0.005,0.005,0.028,0.7,44,29,15.98,1.21,7.78,51.66,619.73
FEBRERO,23,2,0.003,0.006,0.032,0.62,54,33,15.22,1.1,7.78,54.03,619.71
FEBRERO,23,3,0.003,0.007,0.03,0.68,60,38,14.56,1.01,343.35,55.99,619.67
FEBRERO,23,4,0.002,0.007,0.03,0.7,52,38,13.54,0.56,228.16,59.99,619.69
FEBRERO,23,5,0.001,0.006,0.028,0.81,56,42,12.61,0.75,149.38,63.39,619.74
FEBRERO,23,6,0.001,0.006,0.029,0.79,93,55,11.73,1.21,125.28,64.87,620.04
FEBRERO,23,7,0.001,0.006,0.028,0.91,80,41,11.22,1.17,93.73,67.42,620.36
FEBRERO,23,8,0.001,0.006,0.029,1.36,76,34,11.45,1.2,86.91,66.06,620.58
FEBRERO,23,9,0.004,0.006,0.031,1.44,104,46,14.03,1.54,123.94,58.72,620.77
FEBRERO,23,10,0.014,0.006,0.027,0.85,125,49,17.07,1.68,73.53,53.53,620.95
FEBRERO,23,11,0.031,0.006,0.023,0.7,85,48,20.02,2.02,13.9,48.28,621.17
FEBRERO,23,12,0.047,0.006,0.026,0.81,74,46,21.43,1.99,312.75,45.78,620.74
FEBRERO,23,13,0.062,0.006,0.024,0.67,95,44,23.15,2.19,303.62,42.97,620.41
FEBRERO,23,14,0.069,0.006,0.019,0.61,99,42,24.91,1.96,293.35,39.4,620.15
FEBRERO,23,15,0.067,0.006,0.018,0.63,83,37,24.87,2.06,324.76,38.72,619.14
FEBRERO,23,16,0.071,0.006,0.017,0.6,81,56,27.15,1.99,311.53,33.39,618.85
FEBRERO,23,17,0.065,0.006,0.017,0.63,76,61,28.47,1.86,353.37,12.79,619.2
FEBRERO,23,18,0.062,0.005,0.018,0.65,58,43,28.33,1.69,339.93,18.62,619.19
FEBRERO,23,19,0.044,0.005,0.031,1.02,45,51,26.39,1.79,331.64,25.33,618.86
FEBRERO,23,20,0.015,0.005,0.052,1.54,75,55,23.79,1.7,289.97,32.22,618.92
FEBRERO,23,21,0.016,0.005,0.043,1.17,133,62,21.3,1.53,266.43,37.61,619.21
FEBRERO,23,22,0.024,0.006,0.037,1.14,154,71,20.14,1.27,282.94,38.06,619.61
FEBRERO,23,23,0.001,0.006,0.057,1.75,100,40,19.28,1.51,100.48,42.34,620.04
FEBRERO,24,0,0.004,0.006,0.047,0.97,172,60,17.65,1.81,102.94,43.83,620.2
FEBRERO,24,1,0.008,0.006,0.046,0.7,135,80,17.57,2.4,101.24,43.7,620.18
FEBRERO,24,2,0.003,0.006,0.042,0.74,93,67,15.66,1.05,248.3,50.23,620.3
FEBRERO,24,3,0.007,0.006,0.038,0.67,105,50,15.59,1.21,119.72,51.96,620.01
FEBRERO,24,4,0.003,0.006,0.038,0.64,91,39,14.45,1.05,130.06,53.72,620.08
FEBRERO,24,5,0.003,0.006,0.039,0.65,87,45,14.26,1.6,74.32,57.15,620.25
FEBRERO,24,6,0.001,0.006,0.043,0.72,87,41,14.06,1.62,79.67,62.48,620.32
FEBRERO,24,7,0.001,0.006,0.04,0.96,81,43,13.22,1.46,95.43,65.8,620.48
FEBRERO,24,8,0.002,0.006,0.042,1.38,89,51,13.7,1.68,97.26,63.89,621.08
FEBRERO,24,9,0.005,0.007,0.04,1.4,116,50,15.13,1.69,119.39,59.03,621.16
FEBRERO,24,10,0.018,0.007,0.038,1.02,129,58,18.8,1.45,129.83,51.33,621.31
FEBRERO,24,11,0.033,0.007,0.032,0.71,107,57,22.11,2.19,81.62,42.67,621.22
FEBRERO,24,12,0.049,0.006,0.021,0.54,106,57,24.16,3.56,91.36,32.35,620.84
FEBRERO,24,13,0.056,0.006,0.021,0.51,86,35,26.66,3.25,97.2,23.51,620.11
FEBRERO,24,14,0.067,0.006,0.017,0.51,256,26,28.73,2.97,64.83,19.98,619.82
FEBRERO,24,15,0.064,0.006,0.017,0.51,87,26,29.45,4.04,85.2,15.69,619.15
FEBRERO,24,16,0.06,0.006,0.015,0.51,97,26,30.75,3.54,89.43,6.11,618.42
FEBRERO,24,17,0.062,0.006,0.015,0.56,77,24,30.94,3.68,93.42,2.53,618.27
FEBRERO,24,18,0.054,0.006,0.019,0.65,73,30,30.07,3.94,80.95,6.21,618.15
FEBRERO,24,19,0.042,0.005,0.023,0.67,83,25,28.04,4.12,98.8,17.17,618.29
FEBRERO,24,20,0.023,0.006,0.033,0.94,80,26,25.44,2.79,54.62,23.95,618.73
FEBRERO,24,21,0.023,0.006,0.031,0.73,98,31,22.94,2.78,89.91,30.9,619.81
FEBRERO,24,22,0.034,0.006,0.021,0.55,130,40,21.23,4.03,98.29,36.59,620.39
FEBRERO,24,23,0.028,0.006,0.025,0.56,103,32,19.63,3.36,78.35,42.07,620.89
FEBRERO,25,0,0.034,0.006,0.02,0.48,72,31,18.21,3.18,70.8,49.1,621.01
FEBRERO,25,1,0.035,0.005,0.017,0.46,53,29,17.15,2.65,56.67,55.11,621.13
FEBRERO,25,2,0.034,0.005,0.017,0.48,48,31,16.52,2.18,51.14,62.38,621.26
FEBRERO,25,3,0.034,0.005,0.016,0.46,45,34,15.54,2.01,37.34,70.21,621.17
FEBRERO,25,4,0.033,0.005,0.014,0.44,41,33,14.67,2.32,39.14,75.55,620.99
FEBRERO,25,5,0.029,0.005,0.015,0.45,43,41,14.1,1.87,40.57,75.99,620.86
FEBRERO,25,6,0.022,0.005,0.02,0.48,47,40,13.52,1.43,74.63,78.01,620.81
FEBRERO,25,7,0.008,0.005,0.031,0.63,44,34,13.3,1.99,54.99,80.72,621.28
FEBRERO,25,8,0.006,0.006,0.036,0.73,57,42,13.49,2.14,75.94,79.77,621.52
FEBRERO,25,9,0.016,0.006,0.03,0.84,72,40,15.46,1.57,24.38,74.27,621.64
FEBRERO,25,10,0.031,0.006,0.021,0.66,85,49,17.72,2.08,64.97,69.8,622.01
FEBRERO,25,11,0.045,0.006,0.017,0.57,82,47,19.92,2.57,89.39,64.57,622
FEBRERO,25,12,0.055,0.005,0.016,0.54,79,48,22.57,2.03,120.93,53.75,621.73
FEBRERO,25,13,0.066,0.006,0.015,0.56,66,47,24.67,1.96,122.93,47.48,621.18
FEBRERO,25,14,0.074,0.006,0.015,0.61,94,43,26.65,2.14,306,41.62,620.67
FEBRERO,25,15,0.081,0.006,0.015,0.63,80,51,27.02,3.33,299.2,42.05,620.17
FEBRERO,25,16,0.076,0.005,0.015,0.66,100,54,27.55,3.32,308.91,39.76,619.76
FEBRERO,25,17,0.067,0.005,0.014,0.65,86,48,27.11,2.64,325.22,37.61,619.11
FEBRERO,25,18,0.064,0.005,0.014,0.63,78,50,27.38,2.39,289.61,35.17,619.24
FEBRERO,25,19,0.058,0.005,0.015,0.67,72,53,26.3,2.85,284.18,35.52,619.24
FEBRERO,25,20,0.042,0.005,0.026,0.88,84,50,24.34,2.39,261.9,40.98,619.39
FEBRERO,25,21,0.037,0.005,0.026,0.91,114,47,22.8,2.65,218.25,41.49,619.92
FEBRERO,25,22,0.027,0.005,0.021,0.65,81,41,21.78,2.89,172.35,38.42,620
FEBRERO,25,23,0.027,0.005,0.019,0.59,50,35,20.86,3.17,89.23,43.99,620.5
FEBRERO,26,0,0.021,0.005,0.021,0.61,62,39,19.29,3.86,84.96,67.95,620.88
FEBRERO,26,1,0.025,0.006,0.017,0.49,77,41,17.94,4.03,95.5,75.61,620.83
